# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;HSexfinVal
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=3)
"HSexfinVal";"X5yrT.bond";"X10yrT.bond";"X10yrNSWT.bond"
11.09550276;0.28333333;0.21666667;0.36
8.73966356;0.15;-0.03333333;-0.1
-76.30424091;1.31666667;1.1;1.07333333
-69.09729128;-1.35;-1.35;-0.60666667
66.66988287;-1.08333333;-0.85;-1.07666666
21.81537257;1.81666666;1.43333333;1.43666666
21.65613463;-0.55;-0.51666667;-0.07
7.888529461;0.48333334;0.21666667;0.19666667
22.60551444;-1.01666667;-0.8;-0.56333333
56.51745417;-0.76666667;-0.15;-0.69666667
67.17147485;0.2;0.46666667;0.02
18.51344162;-1.01666666;-1.06666667;-0.61333333
102.0718468;0.11666666;-0.28333333;-0.33
-17.69335676;0.43333334;-0.01666667;0.14
3.39885627;0.76666666;0.5;0.50333333
-24.39990987;1.15;1.13333333;1.16666667
-55.13795777;0.13333334;0.06666667;-0.13
-45.75749787;-0.28333334;-0.28333333;-0.15666667
4.62230514;-0.15;-0.13333334;-0.14
64.22347306;-0.29333333;-0.00333333;-0.05
-43.98303508;0.38;0.38333333;0.07
6.821868258;-0.65666667;-0.13666666;-0.23
8.634008745;-0.99;-0.87666667;-0.87666667
12.03004248;-0.96333333;-1.07333333;-0.74666666
68.83741651;-0.56;-0.51;-0.59666667
19.67126675;-0.34333333;-0.31;-0.34
-13.01906573;-1.78666667;-0.993333337;-1.05666667
26.62461704;0.7;0.349999997;0.30666667
44.60723545;-1.126666667;-0.86333333;-0.906666667
24.60782703;-0.366666666;-0.413333333;-0.516666666
-1.267908895;0.41;0.243333333;0.263333333
19.04555608;-0.9;-0.846666667;-0.933333333
20.71224457;-0.566666667;-0.59;-0.643333334
24.33379652;-0.556666667;-0.756666666;-0.746666666
37.13648994;-0.133333333;-0.126666667;-0.136666667
36.14629935;0.6;0.46;0.486666667
9.323164234;1.593333333;1.833333333;1.893333333
-39.09013136;0.796666667;0.8;0.80333333
-31.7968135;0.96;0.586666667;0.64333334
-43.10767357;-0.10333333;-0.13333333;-0.33333334
2.673243142;-1.223333337;-0.950000003;-0.84333333
11.48696028;-0.406666666;-0.293333334;-0.303333333
-1.852834626;-0.42;-0.543333333;-0.643333334
13.63021657;0.063333333;-0.03;0.126666667
-13.31351569;0.543333333;0.486666667;0.343333333
13.38722244;-0.746666666;-0.653333334;-0.873333333
23.85135049;-0.856666667;-0.88;-0.713333333
28.177318;0.19;0.24;0.433333333
9.970747088;-0.133333333;-0.003333333;-0.276666667
15.51482666;-1.01;-1.046666667;-1.126666666
8.439612613;-0.25;-0.416666666;-0.173333334
-2.766939902;-0.266666667;-0.26;-0.153333333
