# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; sales transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# number_predictions; 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; P613
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# name_prefix; transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; Hits_te__jdit_graph(n_components=5)
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P613;P675;P431;P305;P702;P791
18.0;2.0;3.0;8.0;3.0;4.0
26.0;1.0;6.0;7.0;1.0;3.0
12.0;4.0;4.0;3.0;4.0;4.0
17.0;0.0;2.0;1.0;4.0;2.0
23.0;2.0;5.0;3.0;4.0;6.0
15.0;5.0;6.0;2.0;6.0;6.0
18.0;5.0;8.0;6.0;7.0;6.0
19.0;1.0;8.0;8.0;5.0;7.0
33.0;3.0;8.0;12.0;5.0;6.0
31.0;2.0;7.0;2.0;5.0;4.0
21.0;1.0;8.0;10.0;7.0;5.0
32.0;1.0;7.0;5.0;5.0;2.0
21.0;1.0;13.0;8.0;6.0;5.0
17.0;1.0;4.0;3.0;7.0;4.0
29.0;8.0;1.0;5.0;6.0;4.0
20.0;5.0;5.0;12.0;5.0;9.0
20.0;0.0;6.0;6.0;9.0;5.0
23.0;3.0;8.0;1.0;2.0;10.0
20.0;6.0;9.0;4.0;3.0;5.0
27.0;3.0;9.0;5.0;4.0;7.0
20.0;6.0;8.0;3.0;5.0;5.0
30.0;7.0;11.0;1.0;5.0;7.0
29.0;5.0;10.0;5.0;7.0;8.0
33.0;4.0;9.0;8.0;6.0;7.0
43.0;4.0;12.0;6.0;7.0;12.0
31.0;10.0;11.0;3.0;11.0;9.0
9.0;7.0;1.0;2.0;4.0;3.0
17.0;3.0;5.0;2.0;5.0;8.0
16.0;5.0;4.0;2.0;4.0;6.0
17.0;7.0;4.0;4.0;2.0;3.0
14.0;4.0;4.0;8.0;8.0;5.0
15.0;4.0;2.0;8.0;13.0;3.0
13.0;1.0;3.0;5.0;5.0;2.0
8.0;2.0;7.0;3.0;6.0;4.0
13.0;3.0;1.0;4.0;4.0;2.0
25.0;6.0;9.0;3.0;4.0;6.0
16.0;4.0;4.0;9.0;4.0;4.0
29.0;6.0;4.0;8.0;4.0;4.0
17.0;6.0;5.0;3.0;6.0;3.0
17.0;6.0;6.0;2.0;8.0;5.0
19.0;4.0;5.0;5.0;6.0;2.0
19.0;8.0;1.0;4.0;3.0;8.0
24.0;7.0;6.0;2.0;2.0;4.0
26.0;7.0;8.0;4.0;6.0;8.0
21.0;6.0;4.0;8.0;11.0;3.0
25.0;5.0;5.0;3.0;3.0;6.0
25.0;5.0;6.0;11.0;6.0;6.0
24.0;5.0;5.0;2.0;10.0;4.0
29.0;7.0;5.0;2.0;4.0;4.0
23.0;7.0;7.0;3.0;8.0;13.0
34.0;5.0;6.0;5.0;9.0;6.0
30.0;9.0;14.0;7.0;17.0;13.0
8.0;0.0;1.0;1.0;1.0;2.0
43.0;10.0;14.0;12.0;17.0;13.0
0.29;0.2;0.15;0.64;0.13;0.18
0.51;0.1;0.38;0.55;0.0;0.09
0.11;0.4;0.23;0.18;0.19;0.18
0.26;0.0;0.08;0.0;0.19;0.0
0.43;0.2;0.31;0.18;0.19;0.36
0.2;0.5;0.38;0.09;0.31;0.36
0.29;0.5;0.54;0.45;0.38;0.36
0.31;0.1;0.54;0.64;0.25;0.45
0.71;0.3;0.54;1.0;0.25;0.36
0.66;0.2;0.46;0.09;0.25;0.18
0.37;0.1;0.54;0.82;0.38;0.27
0.69;0.1;0.46;0.36;0.25;0.0
0.37;0.1;0.92;0.64;0.31;0.27
0.26;0.1;0.23;0.18;0.38;0.18
0.6;0.8;0.0;0.36;0.31;0.18
0.34;0.5;0.31;1.0;0.25;0.64
0.34;0.0;0.38;0.45;0.5;0.27
0.43;0.3;0.54;0.0;0.06;0.73
0.34;0.6;0.62;0.27;0.13;0.27
0.54;0.3;0.62;0.36;0.19;0.45
0.34;0.6;0.54;0.18;0.25;0.27
0.63;0.7;0.77;0.0;0.25;0.45
0.6;0.5;0.69;0.36;0.38;0.55
0.71;0.4;0.62;0.64;0.31;0.45
1.0;0.4;0.85;0.45;0.38;0.91
0.66;1.0;0.77;0.18;0.63;0.64
0.03;0.7;0.0;0.09;0.19;0.09
0.26;0.3;0.31;0.09;0.25;0.55
0.23;0.5;0.23;0.09;0.19;0.36
0.26;0.7;0.23;0.27;0.06;0.09
0.17;0.4;0.23;0.64;0.44;0.27
0.2;0.4;0.08;0.64;0.75;0.09
0.14;0.1;0.15;0.36;0.25;0.0
0.0;0.2;0.46;0.18;0.31;0.18
0.14;0.3;0.0;0.27;0.19;0.0
0.49;0.6;0.62;0.18;0.19;0.36
0.23;0.4;0.23;0.73;0.19;0.18
0.6;0.6;0.23;0.64;0.19;0.18
0.26;0.6;0.31;0.18;0.31;0.09
0.26;0.6;0.38;0.09;0.44;0.27
0.31;0.4;0.31;0.36;0.31;0.0
0.31;0.8;0.0;0.27;0.13;0.55
0.46;0.7;0.38;0.09;0.06;0.18
0.51;0.7;0.54;0.27;0.31;0.55
0.37;0.6;0.23;0.64;0.63;0.09
0.49;0.5;0.31;0.18;0.13;0.36
0.49;0.5;0.38;0.91;0.31;0.36
0.46;0.5;0.31;0.09;0.56;0.18
0.6;0.7;0.31;0.09;0.19;0.18
0.43;0.7;0.46;0.18;0.44;1.0
0.74;0.5;0.38;0.36;0.5;0.36
0.63;0.9;1.0;0.55;1.0;1.0
