# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; sales transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# number_predictions; 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; P344
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# name_prefix; transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; Hits_te__jdit_graph(n_components=5)
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P344;P500;P586;P638;P437;P509
1.0;8.0;7.0;15.0;7.0;9.0
2.0;8.0;2.0;7.0;4.0;5.0
0.0;3.0;4.0;10.0;13.0;5.0
3.0;4.0;6.0;18.0;6.0;2.0
0.0;13.0;8.0;21.0;3.0;9.0
0.0;9.0;8.0;8.0;7.0;3.0
3.0;5.0;7.0;7.0;6.0;13.0
1.0;6.0;3.0;12.0;3.0;4.0
2.0;10.0;3.0;13.0;4.0;5.0
0.0;8.0;8.0;15.0;7.0;7.0
0.0;10.0;6.0;12.0;8.0;4.0
1.0;4.0;4.0;15.0;8.0;6.0
2.0;12.0;4.0;22.0;12.0;7.0
0.0;6.0;4.0;15.0;6.0;6.0
0.0;11.0;13.0;8.0;7.0;7.0
2.0;7.0;3.0;9.0;5.0;4.0
2.0;5.0;6.0;13.0;7.0;7.0
4.0;6.0;8.0;16.0;5.0;6.0
0.0;8.0;4.0;13.0;4.0;4.0
1.0;3.0;8.0;18.0;4.0;4.0
1.0;6.0;5.0;16.0;8.0;8.0
2.0;7.0;10.0;12.0;13.0;6.0
1.0;4.0;7.0;28.0;5.0;5.0
2.0;9.0;9.0;15.0;11.0;12.0
4.0;8.0;13.0;25.0;8.0;11.0
2.0;4.0;14.0;20.0;12.0;4.0
0.0;6.0;6.0;8.0;6.0;5.0
1.0;7.0;4.0;8.0;3.0;2.0
1.0;5.0;7.0;4.0;1.0;4.0
1.0;6.0;5.0;4.0;3.0;4.0
4.0;8.0;7.0;5.0;2.0;4.0
2.0;7.0;4.0;10.0;5.0;3.0
1.0;4.0;4.0;9.0;4.0;3.0
1.0;4.0;8.0;9.0;6.0;6.0
1.0;8.0;5.0;7.0;6.0;6.0
3.0;6.0;2.0;12.0;6.0;6.0
2.0;4.0;3.0;7.0;9.0;4.0
0.0;8.0;5.0;8.0;8.0;6.0
2.0;7.0;4.0;12.0;5.0;7.0
1.0;4.0;4.0;4.0;4.0;7.0
3.0;4.0;7.0;9.0;8.0;4.0
3.0;2.0;8.0;6.0;8.0;4.0
1.0;5.0;3.0;20.0;4.0;5.0
1.0;6.0;2.0;17.0;2.0;3.0
2.0;5.0;6.0;9.0;7.0;5.0
3.0;3.0;2.0;18.0;7.0;4.0
1.0;4.0;7.0;10.0;4.0;9.0
3.0;5.0;5.0;14.0;7.0;5.0
2.0;3.0;4.0;15.0;0.0;7.0
3.0;5.0;5.0;19.0;5.0;5.0
1.0;8.0;12.0;20.0;6.0;7.0
3.0;6.0;11.0;20.0;9.0;6.0
0.0;2.0;2.0;4.0;0.0;2.0
4.0;13.0;14.0;28.0;13.0;13.0
0.25;0.55;0.42;0.46;0.54;0.64
0.5;0.55;0.0;0.13;0.31;0.27
0.0;0.09;0.17;0.25;1.0;0.27
0.75;0.18;0.33;0.58;0.46;0.0
0.0;1.0;0.5;0.71;0.23;0.64
0.0;0.64;0.5;0.17;0.54;0.09
0.75;0.27;0.42;0.13;0.46;1.0
0.25;0.36;0.08;0.33;0.23;0.18
0.5;0.73;0.08;0.38;0.31;0.27
0.0;0.55;0.5;0.46;0.54;0.45
0.0;0.73;0.33;0.33;0.62;0.18
0.25;0.18;0.17;0.46;0.62;0.36
0.5;0.91;0.17;0.75;0.92;0.45
0.0;0.36;0.17;0.46;0.46;0.36
0.0;0.82;0.92;0.17;0.54;0.45
0.5;0.45;0.08;0.21;0.38;0.18
0.5;0.27;0.33;0.38;0.54;0.45
1.0;0.36;0.5;0.5;0.38;0.36
0.0;0.55;0.17;0.38;0.31;0.18
0.25;0.09;0.5;0.58;0.31;0.18
0.25;0.36;0.25;0.5;0.62;0.55
0.5;0.45;0.67;0.33;1.0;0.36
0.25;0.18;0.42;1.0;0.38;0.27
0.5;0.64;0.58;0.46;0.85;0.91
1.0;0.55;0.92;0.88;0.62;0.82
0.5;0.18;1.0;0.67;0.92;0.18
0.0;0.36;0.33;0.17;0.46;0.27
0.25;0.45;0.17;0.17;0.23;0.0
0.25;0.27;0.42;0.0;0.08;0.18
0.25;0.36;0.25;0.0;0.23;0.18
1.0;0.55;0.42;0.04;0.15;0.18
0.5;0.45;0.17;0.25;0.38;0.09
0.25;0.18;0.17;0.21;0.31;0.09
0.25;0.18;0.5;0.21;0.46;0.36
0.25;0.55;0.25;0.13;0.46;0.36
0.75;0.36;0.0;0.33;0.46;0.36
0.5;0.18;0.08;0.13;0.69;0.18
0.0;0.55;0.25;0.17;0.62;0.36
0.5;0.45;0.17;0.33;0.38;0.45
0.25;0.18;0.17;0.0;0.31;0.45
0.75;0.18;0.42;0.21;0.62;0.18
0.75;0.0;0.5;0.08;0.62;0.18
0.25;0.27;0.08;0.67;0.31;0.27
0.25;0.36;0.0;0.54;0.15;0.09
0.5;0.27;0.33;0.21;0.54;0.27
0.75;0.09;0.0;0.58;0.54;0.18
0.25;0.18;0.42;0.25;0.31;0.64
0.75;0.27;0.25;0.42;0.54;0.27
0.5;0.09;0.17;0.46;0.0;0.45
0.75;0.27;0.25;0.63;0.38;0.27
0.25;0.55;0.83;0.67;0.46;0.45
0.75;0.36;0.75;0.67;0.69;0.36
