# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;HStartsNT
# prediction_type;rolling
# method; Part-GFS_te(n_components=13)
"HStartsNT";"Mbase";"Cons.PurVeh";"HStartsWA";"Cons.Edu";"IP.NMM";"Cap.MacEqu";"ExrateGBP";"ExrateHKD";"ExrateSGD";"ExrateJPY";"IP.ME";"IP.MP";"HSexfinVal"
17.75035263;0.793838094;-17.13685898;-23.07382576;-9.488954976;35.82427093;20.69426976;-89.60769201;-50.61674495;-49.07031776;-56.0810178;9.327776938;17.31336708;11.09550276
-37.79032137;-3.71033664;3.193139462;-27.7919411;19.23494427;18.66790891;3.505998541;-9.279707455;31.75646621;26.40854143;-2.706710383;-12.9741103;-3.037220363;8.73966356
-36.07428713;6.271564038;16.53424962;-81.83446384;2.470903557;-18.00947255;-14.37667364;-25.25321553;-12.15257365;-29.89874165;-60.41539571;15.80097719;-6.764188859;-76.30424091
-73.89364128;-9.948543638;-67.6120002;-46.21011673;-39.91871238;-2.640273613;-11.51278636;11.9544038;12.10444117;19.3198125;-29.95758125;-21.70514342;-11.32151047;-69.09729128
28.88332325;3.04323243;-0.278067443;46.33166021;40.58135601;6.568292085;20.13626454;-18.32509235;0.572401043;11.08954579;-36.20431554;-17.4766638;-12.96709983;66.66988287
37.71528301;-0.170966435;2.219145775;60.8695776;14.76319357;-27.64368457;6.387361271;-46.46443698;-60.39611928;-67.02580212;-93.76554559;43.38499826;26.14476212;21.81537257
-81.36042903;2.802528831;-91.96364995;37.9579934;0.455529032;19.08368713;80.05940278;35.05825034;25.27595277;29.01057753;42.60379346;-36.4550848;-2.476788099;21.65613463
-17.41632342;-6.090935624;16.70460033;3.731943315;-3.383263969;-29.69438886;-41.50352081;-17.12983398;16.53298855;6.779116063;-11.18720254;26.57803976;14.63577897;7.888529461
-11.68741819;4.719825523;-55.03760409;5.973742949;-6.666820994;36.94932805;30.19255839;2.353217926;19.86849974;16.74826559;0.69054241;-2.148617521;8.296593723;22.60551444
-15.38651244;-2.086213386;23.07616546;8.343185849;3.439881746;-27.03731645;-11.98363298;1.034692908;-1.615523733;-5.058415904;4.929309572;9.228448361;5.82251911;56.51745417
6.666820994;16.0065659;14.90855792;76.78880674;2.031398641;34.16301096;38.49877921;-48.26600249;-6.300831783;-18.82452974;-48.52692194;-0.702370681;18.08217471;67.17147485
