# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-PCCR
# prediction_type;rolling
# method; Part-GFS_te(n_components=12)
"IP-PCCR";"Emp.JobVac";"HCE.Pet";"IP.FBT";"BusInv";"HCE.ITA";"HSexfinVal";"HStartsTotal";"IP.NMM";"Unum.LPT";"IP.WPP";"HStartsTAS";"Credit.Total"
11.26835079;8.2;8.695994655;13.00927668;20.59540653;19.73095503;11.09550276;2.088518489;35.82427093;16.69539192;17.02384577;19.07962263;0.86853552
-6.106988852;-1.4;-0.185035276;-19.67609768;16.44004798;-15.91427047;8.73966356;1.032781534;18.66790891;-4.699432064;24.9029101;13.73525503;2.86129465
0.512492062;-1;-8.510959379;-4.054088758;-4.294382558;3.276361783;-76.30424091;-59.30819233;-18.00947255;25.7111197;0.977597228;-86.08205949;1.132265815
-9.326847422;-1.4;13.45534366;5.396371896;1.167621801;-16.96631723;-69.09729128;-57.46759811;-2.640273613;12.70355362;5.173879733;-55.54447413;-5.636165555
-8.477138461;1.3;-7.394621651;11.88206177;18.18993216;7.944385192;66.66988287;31.55830611;6.568292085;11.08587198;-11.73678331;30.84379006;0.945939038
10.04679384;-5;1.879985413;8.367159465;0.042847196;8.258974183;21.81537257;14.47703963;-27.64368457;12.21930807;-14.14288733;-2.232563935;4.444801773
19.86404307;5.2;1.768507121;5.063358749;44.97478435;-14.06239083;21.65613463;12.14710511;19.08368713;-15.30241246;5.108626272;30.17588304;-8.726300278
-7.01772386;3.2;-7.795335293;-8.90338824;-16.73262623;2.738551765;7.888529461;-5.320413015;-29.69438886;3.574203537;-0.338552707;-5.808989667;0.353518493
16.83416743;-2.6;3.773420352;23.71989691;40.66027134;-1.38505546;22.60551444;19.70296345;36.94932805;-16.27767658;7.715123869;-10.91408162;2.805913506
10.99889978;3.2;-3.809361879;3.018882254;8.492736507;3.353814267;56.51745417;36.19526803;-27.03731645;21.51925687;2.318847074;49.69721983;-0.2131799
8.401709108;-3.2;7.381735025;7.744098914;24.61314447;3.220365613;67.17147485;44.44414087;34.16301096;7.20091454;6.876960216;44.1994588;2.809850582
10.03473377;3.3;-5.615000606;-0.590406011;18.61706084;24.105902;18.51344162;4.703090999;14.501194;5.316870484;14.66299634;0;6.827586847
-27.50063514;4.2;12.3574617;-0.591278748;36.67520281;-29.71284352;102.0718468;75.10166417;-17.72441853;37.61157986;8.975231475;59.28928901;-7.299360584
6.223943643;6.4;-12.53139624;3.53463272;-26.50609164;-5.415818283;-17.69335676;-32.66100428;34.69666138;-78.73986294;15.01677848;-4.121198607;1.223048588
7.529634098;4.3;8.445037111;14.40040322;34.35116452;4.812044584;3.39885627;-14.23452082;13.99559674;34.62022661;25.40989715;-24.60211647;0.89591
