# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;HStartsTotal
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=11)
"HStartsTotal";"RGDP";"Imports";"X90daysBkbills";"IP.Man";"X5yrT.bond";"IP.PCCR";"TotComp";"HCE.OthMot";"Currency";"Credit.Per";"SPASXAllOrds"
2.088518489;8.902859911;-1.793193953;1.54;11.23669395;0.28333333;11.26835079;10.78809055;-1.430497544;-0.471828625;3.280903827;34.16670584
1.032781534;5.039001579;9.516280621;0.36666667;-3.89703848;0.15;-6.106988852;8.213946896;1.357647088;-6.918881082;0.901144297;36.86769673
-59.30819233;-1.002234306;-5.366970802;1.97666666;0;1.31666667;0.512492062;12.78641946;-0.042514747;-0.106636503;-7.053028526;21.84685965
-57.46759811;2.792993979;-2.693839628;-0.13333333;-6.770260353;-1.35;-9.326847422;14.20785002;6.636299948;3.046385126;-4.584270705;29.55428616
31.55830611;-0.698911704;0.944908901;-2.84333333;-2.855115619;-1.08333333;-8.477138461;4.165777115;-10.73890001;-0.221514612;-7.775042776;43.99165727
14.47703963;1.141007731;-24.89290348;1.71;12.4128437;1.81666666;10.04679384;10.74030744;13.03046817;2.773644061;-10.65925689;-6.485070679
12.14710511;6.397614815;10.33960374;-0.68333334;-2.22841802;-0.55;19.86404307;4.946161402;-9.202687767;-4.709698242;14.25705682;67.53747324
-5.320413015;3.800186011;-10.37547657;0.24;4.996595158;0.48333334;-7.01772386;6.296327223;2.471562381;2.723934522;1.095274479;50.57166552
19.70296345;6.804427543;19.46481319;-2.02333333;12.49252925;-1.01666667;16.83416743;10.44549449;9.629254887;-0.2483009;-6.456486531;38.56849564
36.19526803;6.93384971;9.321597117;-1.89;4.784110185;-0.76666667;10.99889978;13.10890499;2.843175214;1.117265382;2.900665416;78.21307037
44.44414087;7.617116317;19.79892976;-0.44333333;9.915706698;0.2;8.401709108;7.287545293;-15.34807153;4.936541887;1.125249173;-195.3849137
4.703090999;1.963446833;8.580850016;-0.98333334;5.630291294;-1.01666666;10.03473377;7.867896956;-14.95187677;-4.375335218;-0.607090357;-2.084582604
75.10166417;1.33775959;7.791154354;1.27333334;-2.038220971;0.11666666;-27.50063514;11.70629958;13.86054354;2.123937197;-3.418824231;61.80881324
-32.66100428;2.976199147;27.34495973;1.09;6.083767465;0.43333334;6.223943643;5.22665751;-8.188988121;3.074118039;5.633895897;13.2990455
