# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;HSexfinVal
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=2)
"HSexfinVal";"Cons.PurVeh";"X10yrT.bond"
11.09550276;-17.13685898;0.21666667
8.73966356;3.193139462;-0.03333333
-76.30424091;16.53424962;1.1
-69.09729128;-67.6120002;-1.35
66.66988287;-0.278067443;-0.85
21.81537257;2.219145775;1.43333333
21.65613463;-91.96364995;-0.51666667
7.888529461;16.70460033;0.21666667
22.60551444;-55.03760409;-0.8
56.51745417;23.07616546;-0.15
67.17147485;14.90855792;0.46666667
18.51344162;24.98702514;-1.06666667
102.0718468;21.35114528;-0.28333333
-17.69335676;8.595879522;-0.01666667
3.39885627;48.29260941;0.5
-24.39990987;-2.429977099;1.13333333
-55.13795777;19.03862315;0.06666667
-45.75749787;6.658284337;-0.28333333
4.62230514;0.761180058;-0.13333334
64.22347306;57.73010931;-0.00333333
-43.98303508;-7.978103808;0.38333333
6.821868258;4.008942243;-0.13666666
8.634008745;-26.56958158;-0.87666667
12.03004248;-62.13420564;-1.07333333
68.83741651;6.039922582;-0.51
19.67126675;-3.008561192;-0.31
-13.01906573;8.152456106;-0.993333337
26.62461704;19.17006151;0.349999997
44.60723545;-22.95387351;-0.86333333
24.60782703;49.00959438;-0.413333333
-1.267908895;-11.94846533;0.243333333
19.04555608;-16.16381534;-0.846666667
20.71224457;-2.326339352;-0.59
24.33379652;5.662900244;-0.756666666
37.13648994;10.84213871;-0.126666667
36.14629935;0;0.46
9.323164234;0.248678901;1.833333333
-39.09013136;-2.243695506;0.8
-31.7968135;29.3931107;0.586666667
-43.10767357;51.57909318;-0.13333333
2.673243142;4.063011063;-0.950000003
11.48696028;-59.37608702;-0.293333334
-1.852834626;27.62840958;-0.543333333
13.63021657;13.13004619;-0.03
-13.31351569;12.71271362;0.486666667
13.38722244;8.323061003;-0.653333334
23.85135049;0.602258583;-0.88
28.177318;24.50936686;0.24
9.970747088;21.84529957;-0.003333333
15.51482666;27.6090585;-1.046666667
8.439612613;32.95227654;-0.416666666
-2.766939902;-7.908767038;-0.26
21.12348655;32.76332949;-0.22
-14.43904771;14.03652792;-0.133333334
23.32848898;-8.163548652;-0.52
39.28008225;-5.00811407;0.336666667
44.03820021;13.17166272;0.496666667
15.42928782;-10.15927624;0.456666666
37.13043925;19.25057667;0.363333334
-14.47768562;7.82223174;0.266666666
-64.00003887;-62.61856974;-0.603333333
-14.82999564;102.2574507;-0.123333333
5.995979006;-29.74554896;-0.296666667
42.96064841;-37.25205895;-0.593333333
61.35633776;-14.26643207;0.52
35.6059235;7.778634414;0.003333333
13.24758769;24.52335301;-0.246666667
10.6625762;20.25749313;0.476666667
-13.73786441;7.977105801;0.133333333
-7.64853719;-9.670092213;-0.523333333
6.296364249;-2.618667291;-0.13
30.3273274;-4.62432896;-0.28
31.72016156;19.95878846;-0.18
27.42767938;28.53998934;0.36
-12.33229808;1.76185867;0.326666667
-45.64696906;-3.53151205;-0.166666667
17.63633732;-4.398914894;0.29
10.40605942;15.24664194;-0.3
15.78957249;3.323325233;-0.226666667
31.70438789;14.45737979;0.123333334
-11.79658064;0.220082537;-0.166666667
18.59124864;7.951248877;-0.1
22.24731459;-3.248528954;0.196666667
8.665341423;-10.24144038;-0.126666667
21.82653457;-1.005165962;0.42
2.299096065;5.221571162;0.043333333
-13.08778384;4.281638246;-0.076666666
21.40586428;36.3032412;0.153333333
42.91927876;0.697471842;0.2
-2.838613441;0.596866562;0.013333333
-8.941989509;17.50400809;0.113333334
-22.89364676;-7.394280898;0.016666666
-72.15594595;-11.10500016;0.22
-9.560478064;-49.9257698;-0.413333333
26.77612533;-4.998644999;-1.166666667
90.74648935;-5.873144234;-0.57
35.30598759;-9.865444276;0.8
-2.554973287;10.56089505;0.423333334
-24.4087994;20.76044015;0.016666666
-48.51787528;11.91531371;0.09
-21.05290393;37.3665879;-0.016666666
-5.285709074;-20.33829534;-0.496666667
1.571326212;-19.06119783;0.303333333
-12.21836696;22.01624885;0.18
6.045715179;-35.54358103;-0.19
-7.357629894;29.40535316;-0.763333333
7.818483883;6.848257218;-0.476666667
-6.009036541;17.83798164;-0.12
7.34455614;27.16399274;-0.593333333
11.45567516;10.01617278;-0.323333333
5.053933163;25.40672105;0.056666666
21.56035764;-26.11390356;0.356666667
14.88382297;9.097265061;-0.13
10.40757382;6.689692799;0.53
21.31257135;0.764737355;0.243333333
8.936840507;-0.679694301;0.02
1.411150213;4.733783059;-0.296666666
-11.16867653;-5.159179249;-0.36
13.70189412;-3.763123757;-0.296666667
